run_id,druid,file,language,transcript_filename,transcript_language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions,diff
bb158br2509-aws-001,bb158br2509,bb158br2509_sl.m4a,en-US,bb158br2509_script.txt,en,68.884959,0.06668138661956281,0.06470966359545746,0.09333219444042606,0.9066678055595739,4365,137,138,27,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/bb158br2509-aws-001.html
bg405cn7261-aws-002,bg405cn7261,bg405cn7261_v2_sl.mp4,en-US,bg405cn7261_v2_sl_script.txt,en,38.025261,0.06222707423580786,0.059717129387113675,0.07822470086878508,0.9217752991312149,1795,36,77,1,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/bg405cn7261-aws-002.html
br525sp8033-aws-003,br525sp8033,br525sp8033_FV4289_v4_sl.mp4,ru-RU,br525sp8033_FV4289_v4_sl_rus_script.txt,ru,39.510092,0.19858156028368795,0.18855218855218855,0.29706145765255487,0.7029385423474451,241,37,15,4,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/br525sp8033-aws-003.html
bw689yg2740-aws-004,bw689yg2740,bw689yg2740_sl.mp4,en-US,bw689yg2740_script.txt,en,197.90881,0.19029091873728887,0.1669122779802994,0.20406272333740139,0.7959372766625986,10741,492,1584,76,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/bw689yg2740-aws-004.html
fh290wd1772-aws-005,fh290wd1772,fh290wd1772_v2_sp_sl.m4a,en-US,fh290wd1772_v2_sp_sl_script.txt,en,14.850255,0.8546511627906976,0.8546511627906976,0.8898872445384073,0.11011275546159267,50,16,0,278,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/fh290wd1772-aws-005.html
gj097zq7635-aws-006,gj097zq7635,gj097zq7635_a_sl.m4a,en-US,gj097zq7635_a_sl_script.txt,en,122.465177,0.15215336843526395,0.14177884010567368,0.19384104231968324,0.8061589576803168,6822,430,542,155,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/gj097zq7635-aws-006.html
gk220dt2833-aws-007,gk220dt2833,gk220dt2833_Ali_Shan_10of10_sl.mp4,en-IN,gk220dt2833_Ali_Shan_10of10_sl_script.txt,en,61.735179,0.1387434554973822,0.12905844155844157,0.16764698652855425,0.8323530134714457,1073,48,86,25,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/gk220dt2833-aws-007.html
gn213vd3845-aws-008,gn213vd3845,gn213vd3845_ev_1_sl.mp4,es-US,gn213vd3845_ev_1_sl_spa_script.txt,es,53.924746,0.1579778830963665,0.15723270440251572,0.24102986785863356,0.7589701321413664,536,59,3,38,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/gn213vd3845-aws-008.html
kp010zv7055-aws-009,kp010zv7055,kp010zv7055_a_sl.m4a,es-US,kp010zv7055_a_sl_script.txt,en,42.546601,0.9085173501577287,0.9070866141732283,0.9645771853057902,0.03542281469420983,59,95,1,480,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/kp010zv7055-aws-009.html
qf378nj5000-aws-010,qf378nj5000,qf378nj5000_sl.mp4,en-US,qf378nj5000_script.txt,en,93.916825,0.19690791709140332,0.17789716039907905,0.22663862083705488,0.7733613791629451,5356,317,629,213,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/qf378nj5000-aws-010.html
tc482fh1865-aws-011,tc482fh1865,tc482fh1865_kfe_project_2023_wallace_sl.mp4,en-US,tc482fh1865_kfe_project_2023_wallace_script.txt,en,23.312368,0.11666666666666667,0.11254019292604502,0.17558441558441562,0.8244155844155844,552,42,22,6,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/tc482fh1865-aws-011.html
bc962wz7181-aws-012,bc962wz7181,bc962wz7181_sl.m4a,ar-SA,bc962wz7181_sl_script.txt,ar,186.572915,0.7125984251968503,0.6889834303627407,0.8779877282021407,0.12201227179785937,1389,2125,148,804,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/bc962wz7181-aws-012.html
