file,language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions
bb158br2509_sl.m4a,en,281.613259,0.05849889624724062,0.057658833768494344,0.07983512386558744,0.9201648761344126,4331,103,66,96
bb158br2509_sl.m4a,en,267.591768,0.05849889624724062,0.057658833768494344,0.07983512386558744,0.9201648761344126,4331,103,66,96
bb158br2509_sl.m4a,en,222.263821,0.058719646799116995,0.05825667980727114,0.08132394683901412,0.9186760531609859,4300,107,36,123
bb158br2509_sl.m4a,en,222.277783,0.058719646799116995,0.05825667980727114,0.08132394683901412,0.9186760531609859,4300,107,36,123
bb158br2509_sl.m4a,en,279.711924,0.05518763796909492,0.054537521815008726,0.07650771643632892,0.9234922835636711,4334,102,54,94
bb158br2509_sl.m4a,en,279.728568,0.05518763796909492,0.054537521815008726,0.07650771643632892,0.9234922835636711,4334,102,54,94
bb158br2509_sl.m4a,en,238.234758,0.06114790286975717,0.06057292805598076,0.08406308066129875,0.9159369193387012,4296,109,43,125
bb158br2509_sl.m4a,en,238.156649,0.06114790286975717,0.06057292805598076,0.08406308066129875,0.9159369193387012,4296,109,43,125
bb158br2509_sl.m4a,en,419.608543,0.06114790286975717,0.06042757417102967,0.08451202678420289,0.9154879732157971,4307,112,54,111
bb158br2509_sl.m4a,en,419.67159,0.06114790286975717,0.06042757417102967,0.08451202678420289,0.9154879732157971,4307,112,54,111
bb158br2509_sl.m4a,en,317.587852,0.06445916114790287,0.06386701662292213,0.08532076238582365,0.9146792376141764,4280,99,42,151
bb158br2509_sl.m4a,en,317.719093,0.06445916114790287,0.06386701662292213,0.08532076238582365,0.9146792376141764,4280,99,42,151
bb158br2509_sl.m4a,en,440.852246,0.0598233995584989,0.05910577971646674,0.08358257021005022,0.9164174297899498,4314,114,55,102
bb158br2509_sl.m4a,en,440.93656,0.0598233995584989,0.05910577971646674,0.08358257021005022,0.9164174297899498,4314,114,55,102
bb158br2509_sl.m4a,en,349.831635,0.06158940397350993,0.06101027771703477,0.08223338833431637,0.9177666116656836,4294,98,43,138
bb158br2509_sl.m4a,en,349.832538,0.06158940397350993,0.06101027771703477,0.08223338833431637,0.9177666116656836,4294,98,43,138
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,226.383629,0.11961722488038277,0.11398176291793313,0.14317009594587105,0.856829904054129,1749,56,93,76
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,337.501741,0.1339712918660287,0.12830957230142567,0.16719190555304086,0.8328080944469591,1712,76,83,93
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,90.105748,0.1467304625199362,0.14175654853620956,0.17622365367560755,0.8237763463243924,1671,65,66,145
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,90.056304,0.1467304625199362,0.14175654853620956,0.17622365367560755,0.8237763463243924,1671,65,66,145
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,205.573725,0.09941520467836257,0.09654104284976768,0.13027599431108206,0.869724005688918,1750,66,56,65
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,360.655178,0.1111111111111111,0.10679611650485436,0.13824719341960723,0.8617528065803928,1748,61,76,72
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,99.338517,0.12599681020733652,0.12216494845360824,0.15515384559364376,0.8448461544063562,1703,63,59,115
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,99.251475,0.12599681020733652,0.12216494845360824,0.15515384559364376,0.8448461544063562,1703,63,59,115
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,347.706905,0.13450292397660818,0.1268170426065163,0.15667973653502032,0.8433202634649797,1742,57,114,82
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,278.426647,0.10685805422647528,0.10302409021014865,0.13397694752677958,0.8660230524732204,1750,60,70,71
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,124.898331,0.13290802764486975,0.1286008230452675,0.1589908250965525,0.8410091749034475,1694,57,63,130
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,124.632076,0.13290802764486975,0.1286008230452675,0.1589908250965525,0.8410091749034475,1694,57,63,130
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,272.002737,0.1291866028708134,0.12436028659160696,0.1627949607338639,0.8372050392661361,1711,75,73,95
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,413.141695,0.17065390749601275,0.1569682151589242,0.19546629333316012,0.8045337066668399,1724,76,164,81
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,137.056449,0.13078149920255183,0.1268041237113402,0.15759765694375827,0.8424023430562417,1694,58,59,129
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,137.014993,0.13078149920255183,0.1268041237113402,0.15759765694375827,0.8424023430562417,1694,58,59,129
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,58.680101,0.06988352745424292,0.06796116504854369,0.09054376697815558,0.9094562330218444,576,14,17,11
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,106.513285,0.10149750415973377,0.09546165884194054,0.11624769528263701,0.883752304717363,578,13,38,10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,33.994724,0.04326123128119801,0.04304635761589404,0.06417474803498091,0.9358252519650191,578,13,3,10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,33.853919,0.04326123128119801,0.04304635761589404,0.06417474803498091,0.9358252519650191,578,13,3,10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,87.849781,0.18469217970049917,0.16869300911854104,0.23171001006552872,0.7682899899344713,547,44,57,10
