file,language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions,options
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,371.616426,0.17862838915470494,0.16358325219084713,0.20268041994614527,0.7973195800538547,1718,77,173,86,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=5
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,316.300939,0.10526315789473684,0.10153846153846154,0.13153438533679973,0.8684656146632003,1752,58,69,71,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=10
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,136.836052,0.13078149920255183,0.1268041237113402,0.15759765694375827,0.8424023430562417,1694,58,59,129,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=5
gk220dt2833_Ali_Shan_7of10_sl.mp4,en,136.853827,0.13078149920255183,0.1268041237113402,0.15759765694375827,0.8424023430562417,1694,58,59,129,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,78.73762,0.15640599001663893,0.1422087745839637,0.17830497557833713,0.8216950244216629,567,24,60,10,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=5
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,95.170668,0.11314475873544093,0.10542635658914729,0.12762456273664624,0.8723754372633538,577,14,44,10,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,33.697001,0.04326123128119801,0.04304635761589404,0.06417474803498091,0.9358252519650191,578,13,3,10,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=5
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,33.902609,0.04326123128119801,0.04304635761589404,0.06417474803498091,0.9358252519650191,578,13,3,10,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,80.2727,0.2895174708818636,0.24335664335664337,0.3092340189518651,0.6907659810481349,541,50,114,10,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=5
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,107.696399,0.22296173044925124,0.2087227414330218,0.32058383706480764,0.6794161629351924,508,83,41,10,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,36.694243,0.04492512479201331,0.04462809917355372,0.06574756358450196,0.934252436415498,578,13,4,10,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=5
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,36.606635,0.04492512479201331,0.04462809917355372,0.06574756358450196,0.934252436415498,578,13,4,10,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,60.933588,0.05490848585690516,0.054009819967266774,0.0766109640079381,0.9233890359920619,578,14,10,9,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=5
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,60.981662,0.05490848585690516,0.054009819967266774,0.0766109640079381,0.9233890359920619,578,14,10,9,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,49.733795,0.026622296173044926,0.026622296173044926,0.03975386721961427,0.9602461327803857,585,8,0,8,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=5
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,49.531922,0.026622296173044926,0.026622296173044926,0.03975386721961427,0.9602461327803857,585,8,0,8,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,67.223584,0.04658901830282862,0.0462046204620462,0.06731510122949447,0.9326848987705055,578,13,5,10,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=5
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,67.138607,0.04658901830282862,0.0462046204620462,0.06731510122949447,0.9326848987705055,578,13,5,10,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=10
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,55.129067,0.036605657237936774,0.036605657237936774,0.05456724667926338,0.9454327533207366,579,11,0,11,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=5
tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,54.992751,0.036605657237936774,0.036605657237936774,0.05456724667926338,0.9454327533207366,579,11,0,11,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=10
kp010zv7055_a_sl.m4a,en,187.744394,0.9984251968503937,0.9984251968503937,0.9999945883053278,5.411694672186595e-06,1,290,0,344,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=5
kp010zv7055_a_sl.m4a,en,203.854759,0.9984251968503937,0.9984251968503937,0.9999940348365545,5.965163445478406e-06,1,263,0,371,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=10
kp010zv7055_a_sl.m4a,en,75.304007,0.9433070866141732,0.9433070866141732,0.996517158904625,0.0034828410953750234,36,550,0,49,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=5
kp010zv7055_a_sl.m4a,en,98.572802,0.9181102362204724,0.9181102362204724,0.9922294384734754,0.007770561526524512,52,496,0,87,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=10
kp010zv7055_a_sl.m4a,en,193.598957,0.9968503937007874,0.9968503937007874,0.9999811400820406,1.8859917959356877e-05,2,332,0,301,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=5
kp010zv7055_a_sl.m4a,en,262.648191,0.9858267716535433,0.9858267716535433,0.999628107711026,0.0003718922889740823,9,334,0,292,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=10
kp010zv7055_a_sl.m4a,en,67.445129,0.8992125984251969,0.7919556171983356,0.9348656785548866,0.06513432144511348,150,308,86,177,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=5
kp010zv7055_a_sl.m4a,en,76.008182,0.9559055118110236,0.9529042386185244,0.9973850132202109,0.0026149867797890577,30,510,2,95,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=10
kp010zv7055_a_sl.m4a,en,171.751314,0.9811023622047244,0.9811023622047244,0.9989830867554111,0.0010169132445888211,12,211,0,412,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=5
kp010zv7055_a_sl.m4a,en,236.006346,0.9968503937007874,0.9968503937007874,0.9999704262319323,2.957376806772393e-05,2,211,0,422,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=10
kp010zv7055_a_sl.m4a,en,72.35706,0.9338582677165355,0.9265625,0.9934114769744691,0.0065885230255309,47,476,5,112,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=5
kp010zv7055_a_sl.m4a,en,72.254555,0.9338582677165355,0.9265625,0.9934114769744691,0.0065885230255309,47,476,5,112,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=10
kp010zv7055_a_sl.m4a,en,189.568219,1.0,1.0,1.0,0.0,0,210,0,425,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=5
kp010zv7055_a_sl.m4a,en,269.934616,0.9937007874015747,0.9937007874015747,0.9998870096394902,0.000112990360509869,4,219,0,412,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=10
kp010zv7055_a_sl.m4a,en,80.699156,0.9401574803149606,0.7981283422459893,0.9342361051022469,0.06576389489775317,151,282,113,202,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=5
kp010zv7055_a_sl.m4a,en,94.143296,0.9401574803149606,0.7981283422459893,0.9305472212491813,0.06945277875081864,151,253,113,231,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=10
qf378nj5000_sl.mp4,en,595.77839,1.301484828921885,0.9723472668810289,0.9989741769576649,0.0010258230423351039,172,4461,1573,14,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=5
qf378nj5000_sl.mp4,en,705.97847,1.2788896061975468,0.9725085910652921,0.9990048179799603,0.0009951820200396742,168,4471,1464,8,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=10
qf378nj5000_sl.mp4,en,304.650621,1.2403701312674844,0.9711878685762426,0.9989379836726021,0.0010620163273978313,171,4466,1288,10,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=5
qf378nj5000_sl.mp4,en,304.867154,1.2403701312674844,0.9711878685762426,0.9989379836726021,0.0010620163273978313,171,4466,1288,10,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=10
qf378nj5000_sl.mp4,en,822.360435,1.3630299117710352,0.9735628650476483,0.9990199726291977,0.0009800273708022867,172,4465,1859,10,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=5
qf378nj5000_sl.mp4,en,721.073571,1.3167635033354852,0.9723502304147466,0.9989633777123127,0.0010366222876873371,174,4465,1646,8,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=10
qf378nj5000_sl.mp4,en,331.48859,1.2429524424359801,0.9714093508240834,0.9989523136684422,0.0010476863315578495,170,4467,1299,10,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=5
qf378nj5000_sl.mp4,en,331.283608,1.2429524424359801,0.9714093508240834,0.9989523136684422,0.0010476863315578495,170,4467,1299,10,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=10
qf378nj5000_sl.mp4,en,722.056456,1.3072950290510006,0.9721555448871819,0.9989555673167497,0.0010444326832502267,174,4462,1602,11,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=5
qf378nj5000_sl.mp4,en,1108.513189,1.273294598665806,0.9741521238063879,0.9991257157849533,0.0008742842150466054,157,4483,1427,7,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=10
qf378nj5000_sl.mp4,en,432.028017,1.2429524424359801,0.9727180868979455,0.9990476366736087,0.0009523633263912855,162,4477,1291,8,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=5
